feature	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.fragilis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Parabacteroides.merdae	Prevotella.copri	Alistipes.putredinis	Eubacterium.rectale	Eubacterium.siraeum	Roseburia.intestinalis	Faecalibacterium.prausnitzii	Subdoligranulum.unclassified	Escherichia.coli	Akkermansia.muciniphila
CSM67U9B	0.0193792295152653	0	6.4087255888031e-05	0	0	0	0.0296798514826569	0.0278813956989082	0.00447487257928734	0.222123677397824	0.0584924040551297	0.0103917657391823	0	0.0353636688085262	0.235705819088441	0.117788707642079	0	0.112545934454673	0.12610858628214	0	0
CSM67U9D	0.0187818109961399	0	0	0	0	0	0.0240988938697036	0.0741767419766298	0.00498300338030484	0.267598692980493	0.0449280880022669	0.0131925739030594	0	0.0472957391449354	0.109518525902255	0.0850218159229917	0	0.182149739840265	0.128254374080956	0	0
CSM67U9H	0.0102293962537802	0	0.0140739745388492	0	0	0	0.0104752925867152	0.00320851193005229	0	0.00673516584130003	0.00640211775496648	0	0.655258237391149	0	0.237281256987237	0	0.00389582482171156	0.0261223508342251	0.00327760227138577	0.00222775549417819	0.0208125132944505
CSM67U9J	0.0291129556354423	0	2.55804825650981e-05	0	0.0295093967705261	0	0	0	0.136528782606804	0.687270937765841	0.0561887131924183	0	0	0	0	0	0	0.0216559632443399	0.00798043442420757	0.00569577053202783	0.0260314653458273
CSM67U9N	0.163907131840589	0	0.0983292724923887	0	0	0	0.0818434743101033	0.0365465335631932	0	0.165676877113701	0.0349099072875989	0	0.154712994665149	0	0.163526791847684	0.0139754248617645	0	0.0492977552437113	0.0133448884245464	0.0239289483495702	0
CSM67UA2	0.0267754625795164	0	0	0	0.0256478621061961	0	0	0	0.275355996655344	0.464948097776411	0.0791350355353199	0	0	0	0	0	0	0.022732837354554	0.00897803865097116	0.00765588320894267	0.0887707861327448
CSM67UAA	0.00854274548401267	0.00447035111243566	0.0168172254864644	0	0	0	0.000473461926066211	0.0100386364474189	0.00443748414946296	0.0101270219289265	0.0713057644655721	0.000649344592784991	0	0.030029300453342	0.00645746992783925	0.00233488681550663	0.0250357428222328	0.0285893721566191	0.00373839496407064	0.776952797267245	0
CSM67UAG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CSM67UAK	0.0748360745807996	0.031847992122229	0.374821685672485	0	0	0	0.217207509184961	0	0.0192252566719968	0.223465621697724	9.20090053814017e-05	0	0	0	0	0	0.00586069861587703	0.00036378560551614	0.0367107180615303	0.0155686487814995	0
CSM67UAM	0.110247502065178	0.0192318093541001	0.467136435747584	0	0	0	0.266656570536202	0	0.0225955885010703	0.0966532119018603	0	0	0	0	0	0	0.00533912049160064	0	0.0118883255400528	0.000251435862352453	0
CSM67UAO	0.101370638512551	0.0483902383866317	0.121103176227768	0	0	0	0.254655904628981	0.00209422564794717	0.0303533154935874	0.403230495873107	0.000931745056202887	0.000135391297587964	0	0.00053350618454305	0	7.51347310790352e-05	0.015125514056084	0.00113210433908031	0.0196947223802683	0.00117388718458136	0
CSM67UAQ	0.0497636184397573	0.0733687888065695	0.178500535400654	0	0	0	0.355381134598621	0	0.0102253190393919	0.316681093489805	6.71451817345385e-05	0	0	0	0	0	0.00968698371870207	0	0.00632538132476504	0	0
CSM67UAS	0.124803252510376	0.0433817790611366	0.147871815776784	0	0	0	0.150886104797187	0	0.0282234114082074	0.445664336030408	1.46088320859623e-05	0	0	0	0	0	0.00499950756061843	0	0.0330858394277526	0.00232487388621351	0.0187444707092308
CSM67UAU	0.0842372166793698	0	0.0253315743768783	0	0.0537093634662348	1.89072621587105e-05	0.0825708298223039	0.00059765721589626	0.00401196011720893	0.066353628558387	0.0827523931766507	0	0	0.124863291108008	0.0105050625870606	0	0.00512775677268858	0.342167807449515	0.117567635701846	0.000184915705793346	0
CSM67UAW	0.0839960666279689	0	0.0407097191881044	0	0.064268478857681	0	0.0708426134262239	0	0.00580807792804489	0.0433755133520029	0.106987393391562	0	0	0.174113476805532	0.00505031579100162	0	0.0067372104311083	0.285566423494536	0.109042652854738	0.00350205785149551	0
CSM67UAY	0.0864952056128927	0	0.0369183188052626	0	0.0625513797984091	0	0.0557878978277019	0	0.00445707044367042	0.0377504726499477	0.0946433123789205	0	0	0.21962709183181	0.0101861500040839	0	0.00332702426240266	0.203597478681693	0.100774944372805	0.015494998060606	0.068388655269795
CSM67UB1	0.115081580592464	0	0.0389885488879074	0	0.16681996377976	1.88330667340607e-05	0.0733903347486484	0	0.00388401625475915	0.0695653996467889	0.0940096571106066	0	0	0.199237139293614	0.00169209029422718	0	4.98164991029992e-05	0.106195714444537	0.0827075388766136	0.0180165621633969	0.0303428043408396
CSM67UB3	0.0883206928951892	0	0.0415901961912291	0	0.097370034212999	0	0.0637831807635233	0	0.00355506523727961	0.0203948072449165	0.121327948079872	0	0	0.203473321469198	0.011827639723698	0	0.00113971163594548	0.116599613889822	0.158293110945747	0.00674038142143227	0.0655842962891484
CSM67UB9	0.0111411797984416	0.000271282072043094	0.00191303326811195	0	0	0	0.525361684479424	0.00355296203183503	0.0239276254839046	0.247784410419054	0.135003184700524	0.00033363529301653	0	0	0	0.00037164602479992	0	0.0462280792305066	0.00411127719833831	0	0
CSM67UBB	0	0	0	0	0	0.360150413499092	0.0900908983751434	0.377450200669644	0	0	3.70271533918844e-05	0	0.000112834224833257	0	0.00217277088868236	0.00540114429240672	0.0552343249161193	0.103030135720949	0.00195531852334836	0	0.00436493173638945
CSM67UBF	0	0	0.000119135184928123	0	0.239722329922557	3.03156497361741e-05	0	0	0.321246607882672	0	0.42161090980456	0	0	0	0.0041085683195078	0	0.0109788746015309	0.000199090495051015	0.00094510367686283	0.00103906446259483	0
CSM67UBH	0	0	0	0	0.203099812262956	0	0	0	0.39441047567643	0	0.30459458668025	0	0	0	0.0891226754752083	0	0.00297078597579338	0	0.000245652457627211	0.00555601147173478	0
CSM67UBN	0	0	4.91364307894857e-05	0	0.21076680319948	0	0	0	0.12469587041769	0	0.583938767746619	0	0	0	0.0795276692938753	0	0.00102175291154716	0	0	0	0
CSM67UBR	0	0	0.000117693288157217	0	0.28308543749259	0	4.85745967394433e-05	0	0.245510636530917	0	0.417222706517335	0	0	0	0.037496280735402	0	0.0153300730899694	0	0	0.00118859774888953	0
CSM67UBX	0.0287371932666408	0	0.110255713773345	0	0.011090025783002	0	0.210749417908159	0	0.0126760331146132	0.39664316397119	3.83081580135894e-05	0	0	0.102614537983159	0	0.00757832065713492	0.00579184636271478	0.0933426000230345	0.0202791486960287	0.000203690302965461	0
CSM67UBZ	0.106077326210424	0	0.139750520214716	0	0	0	0.133647978091522	0	0.0188477419987409	0.286454225230766	1.24987440582427e-05	0	0	0.107753614078585	0	0.00219286217355829	0	0.182634560507755	0.0226286727498742	0	0
CSM67UC6	0.0548506724189289	0	0.225667004525442	0	0.00205953911265091	0	0.045807519123673	0	0.00673051997598337	0.302140371991174	4.7846666759961e-05	0	0	0.134209233873574	0	0.00493993510712522	0	0.188387920515891	0.0351594366887974	0	0
CSM67UCK	0.0388794077910104	0.0457979937669955	3.32247093757433e-05	0	0	0	0.0022969185614559	0.041643556490588	0.00856940041046615	0.179401170588654	0.130790110561044	0.00661686638272413	0	0.0918707350384598	0.000269230486306761	0.170831402376977	0.00038275846004085	0.172023078299974	0.110422995912503	0.000119290192703314	5.18599707230236e-05
CSM67UDF	0.0957177606014731	0.0118292756763591	0.0122142840790252	0	0	0	0.0794997610112345	0.1598499571238	0.000194073055373459	0.139475772651899	0.289321089454082	0.0630178453079701	0	0	0.04765527790971	0	0	0.0545075675127283	0.0279583735376392	0	0.018758962078706
CSM67UDJ	0.0855054943468153	0.00290401859847227	0.0103806044503487	0	0	0	0.0771292507183804	0.206512353255455	0.000272508050192771	0.162585303163762	0.270793756227167	0.0306186302398452	0	0	0.0776407664649907	0	0	0.0285291323119576	0.0232393109323784	0.00019603482881608	0.023692836411419
CSM67UDN	0.0596822530578457	0.000645720453469167	0.0110297267564309	0	0	0	0.0595564174288393	0.27565988694416	0.000329363065223584	0.0832364467440915	0.296411927666075	0.0381518111603083	0	0	0.11937614277404	0	0	0.0323839075054507	0.0174879580550946	0.00418600262874394	0.00186243576022688
CSM67UDR	0.0319434535885106	0	0.00662477062469917	0	0	0	0.0200678857323672	0.160239783693061	0	0.0395667153578437	0.2649956855996	0.0114169691486043	0	0	0.0846448782459317	0	0	0.317682285391541	0.0628175726178416	0	0
CSM67UDR_TR	0.020258109675828	0	0.0161151683658356	0	0	0	0.0199280538653181	0.132963842169593	0	0.0397176337791469	0.350816412782457	0.0181076983780321	0	0	0.107593342392712	0	0	0.225851539401543	0.068648199189534	0	0
CSM67UDY	0.0796992913847059	0.00407908953175077	0.0131938702440142	0	0	0	0.0373290708534554	0.236298347360345	0.000237330913096288	0.144212361017277	0.315564825398024	0.046371412758032	0	0	0.0310124523106444	0	0	0.0542548474583133	0.0228637118986939	0.0148833888716479	0
CSM67UE3	0	0.115001896110388	0	0	0.00292712041162833	0	0	0.117482137778276	0.0412031251346669	0.231861980401114	4.09387470157808e-05	0.135957578839408	0	0.113213950201246	0.0121404931610746	0.0038531979625432	0.0469106328699354	0.0358532927680626	0.133245494583157	0.0103081610314841	0
