feature	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.fragilis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Parabacteroides.merdae	Prevotella.copri	Alistipes.putredinis	Eubacterium.rectale	Eubacterium.siraeum	Roseburia.intestinalis	Faecalibacterium.prausnitzii	Subdoligranulum.unclassified	Escherichia.coli	Akkermansia.muciniphila
MSMA26AN	0.157748	0.0025415	0.0009859	0	0	0	0.0132592	0.0470918	0.0023178	0.0222687	0.0503341	0.0093803	0	0	0	0.0866389	0.0102401	0.0113662	0.0398503	0.0001039	0.0306963
MSMA26AP	0.211826	0.0007029	0.0144118	0	0.0017888	0	0.0194253	0.0272861	0.0122911	0.0207134	0.0517369	0.0072929	0	0	0.0001191	0.0609195	0.001319	0.0046573	0.0193623	4.1e-05	0.0204069
MSMA26AR	0.0983091	0.0459537	0.0110459	0	0.0169369	0	0.0050257	0.0028245	0.0133383	0.0280164	0.0373729	0.0204894	0	0	0	0.231605	0.0010421	0.0240788	0.0294291	0.00435	0.0062619
MSMA26AT	0.0646061	0.0092626	0.0204214	0	0	0	0.0435226	0.0901658	0.0067457	0.0404404	0.0510269	0.0355452	0	0	0	0.0038967	0.0011809	0.0278481	0.0149802	0	0.0050046
MSMA26AV	0.0429052	0.0144412	0.00708	0	0	0.0781608	0.0077418	0	0	0.100012	0.1146	0.0079382	0	0.0519701	0.0098939	0	0.0114638	0.324956	0.00791	0	0
MSMA26AX	0.0176527	0.0091675	0.0063476	0	0	0.0759796	0.0384015	0	0	0.10765	0.249508	0.0097493	0	0.0258403	0.004166	0	0.125112	0.205315	0.0011222	0	0
MSMA26AZ	0.0389408	0.0089293	0.0186179	0	0	0.1372	0.0316721	0	0	0.0541519	0.248348	0.0086139	0	0.0632825	0.00059	0	0.0579527	0.209476	0.0023374	0	0
MSMA26AZ_TR	0.0381893	0.0096939	0.0057545	0	0	0.119029	0.0286543	0	0	0.0915069	0.2138	0.009163	0	0.081371	0.0003284	0	0.0516213	0.238929	0.002679	0	0
MSMA26BB	0.0037404	0.0754253	0.0367062	0	0	0.0439104	1.6e-05	0.0166209	0	0.105427	0.0134179	0.0128038	0	0.0456225	0.020829	0.191961	0.0598369	0.152491	0.0220144	0	0
MSMA26BD	0.0025674	0.0511945	0.044566	0	0	0.0603841	3.2e-05	0.0190446	3.34e-05	0.0718728	0.0193619	0.0098284	0	0.060556	0.0138909	0.0787588	0.0845481	0.221915	0.0391929	0	0
MSMA26BF	0.0037097	0.0887041	0.0696019	0	0	0.0514905	5.2e-06	0.0006529	0	0.0796392	0.0184469	0.0126612	0	0.0329217	0.0619052	0.0573827	0.0287989	0.262669	0.0316868	0	0
MSMA26BH	0.0041358	0.0974936	0.0509425	0	0	0.0877224	5.4e-06	0.0035926	0	0.0780245	0.0206988	0.0142945	0	0.0525652	0.0089684	0.15977	0.0084231	0.162664	0.0339783	0	0
MSMA26BJ	0.0024219	0.0352528	0.0426081	0	0	0.0383989	1.93e-05	0.0037533	0	0.0721322	0.0155409	0.010152	0	0.0298	0.0497317	0.147019	0.0965429	0.22453	0.0207972	5.93e-05	0
MSMA26BL	0.0499177	0.0136925	0.0948066	8.51e-05	0	0.0528099	1.28e-05	0.0031065	2.59e-05	0.101218	0.0297802	0.0158492	0	0.0485921	0.0553941	0.0001051	0.0009161	0.214125	0.0079579	0.001187	0
MSMA26BN	0.0062652	0.0587369	0	0	0	0	0.0160456	0	0.0020124	0.0381129	0.0605458	0.040771	0	0.0587711	0.120512	5.12e-05	0.0086257	0.339338	0.0720984	0	0.0492816
