feature	Bacteroides.caccae	Bacteroides.cellulosilyticus	Bacteroides.dorei	Bacteroides.eggerthii	Bacteroides.fragilis	Bacteroides.massiliensis	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.thetaiotaomicron	Bacteroides.uniformis	Bacteroides.vulgatus	Parabacteroides.merdae	Prevotella.copri	Alistipes.putredinis	Eubacterium.rectale	Eubacterium.siraeum	Roseburia.intestinalis	Faecalibacterium.prausnitzii	Subdoligranulum.unclassified	Escherichia.coli	Akkermansia.muciniphila
CSM7KOMP	-18.6045910938922	-18.2834338608467	-6.87840578051315	-18.782078740052	-4.82072396396557	-19.2776077026074	-5.60720750055765	-1.12074460311352	-4.80260555826858	-3.91195474866182	-5.25575372667722	-17.9620589036327	-19.6661795210308	-17.8961542934108	-6.92294949638556	-19.4080185362601	-4.36368852121783	-2.07346257503646	-4.89146570775376	-5.82126377031598	-9.35645307731779
CSM7KOMT	-18.6045910938922	-18.2834338608467	-19.4037146125444	-18.782078740052	-4.83181955012187	-19.2776077026074	-5.79373596342438	-1.87638930079864	-4.84479214268625	-4.68061121480214	-5.67593801422543	-17.9620589036327	-19.6661795210308	-17.8961542934108	-3.00412318645494	-19.4080185362601	-6.23116777262383	-1.37920078351899	-4.42631701093951	-6.52072658209032	-9.52823706665238
CSM7KOMX	-6.2472750686918	-18.2834338608467	-19.4037146125444	-18.782078740052	-19.4380342458813	-19.2776077026074	-3.76329137159571	-2.48839753447872	-7.40542802830828	-1.68825137006045	-3.64909496516105	-5.44859461940614	-19.6661795210308	-3.62606323369666	-5.3670997088893	-9.66132413695836	-6.57207024018203	-3.3615399765138	-3.29450082344083	-15.876377910962	-18.9633046776506
CSM7KOMZ	-4.78407405730943	-18.2834338608467	-19.4037146125444	-18.782078740052	-13.4471326918807	-19.2776077026074	-3.17546582855188	-4.27799851730272	-8.51875317500734	-1.49848024545646	-3.69054832031238	-6.32644715920703	-19.6661795210308	-4.03267854752509	-4.49626278285133	-10.6063079574387	-6.73908611788316	-3.11750313192095	-3.00944924720111	-15.876377910962	-18.9633046776506
CSM7KON2	-6.09929954646521	-18.2834338608467	-19.4037146125444	-18.782078740052	-19.4380342458813	-19.2776077026074	-4.69910044880909	-4.01477794087696	-9.30220887062678	-2.47320486528407	-3.94704243132177	-4.93982114043198	-19.6661795210308	-3.50141853468415	-3.9455076939862	-10.1001915911676	-7.96778458793162	-1.71034708597445	-2.81337771663425	-15.876377910962	-18.9633046776506
CSM7KON8	-4.96024720343043	-18.2834338608467	-15.264753642025	-18.782078740052	-15.589849015991	-19.2776077026074	-4.09832624480095	-3.63524922549865	-7.56989177253663	-2.01653605556729	-3.86941446836781	-5.17953745487424	-19.6661795210308	-4.15251706744553	-3.89766704412417	-9.77065248128891	-5.4083554172601	-2.17207472917167	-3.1761164836294	-15.876377910962	-18.9633046776506
CSM7KONA	-11.5229702812671	-1.0748724072411	-19.4037146125444	-18.782078740052	-19.4380342458813	-3.56866700413927	-4.42552493411619	-19.9786304014895	-19.1569825732931	-3.14798255461829	-3.05326573669685	-8.87490684477741	-19.6661795210308	-9.18660191742906	-6.30058482652705	-19.4080185362601	-18.4096126936759	-18.6516873321745	-3.05547494117285	-6.01987339703333	-6.85804569113769
CSM7KONK	-6.81853739848791	-1.65936094007481	-7.26750157918564	-18.782078740052	-12.0804793855031	-3.37348335542899	-3.69022264376588	-6.92021013802516	-7.4491374072736	-3.06599358294084	-2.32465618227499	-7.1140961822518	-12.1584264316332	-6.70055244979058	-5.72712190279766	-9.0166420879681	-11.1307667538251	-6.75316995314696	-3.82811514268121	-4.63175215995083	-8.61760284807714
CSM7KOO5	-4.3104160798622	-11.0270448119642	-12.1767447853425	-8.50576410853034	-19.4380342458813	-11.6080523991899	-1.623851733382	-11.9675628495925	-12.5051729342845	-9.71275584468589	-1.98233641419453	-4.07034428636434	-19.6661795210308	-17.8961542934108	-11.2647307402143	-4.76573032821126	-18.4096126936759	-2.04524437928366	-6.0524075335277	-15.876377910962	-6.30690944000831
CSM7KOO9	-4.90965128300529	-18.2834338608467	-19.4037146125444	-18.782078740052	-19.4380342458813	-19.2776077026074	-2.41939129684254	-12.9590103274326	-19.1569825732931	-12.2736704218559	-2.33142117469921	-2.36262289347461	-19.6661795210308	-17.8961542934108	-5.21979228153503	-3.6470235492999	-18.4096126936759	-2.33070287991669	-7.36466687152592	-15.876377910962	-3.74026242205026
